account_number,parcel_number,total_actual_value,total_assessed_precalc,alt_assessed_precalc,lg_mill_levy,school_mill_levy,total_mill_levy,tax_district,tax_year
M000208,378702106003.0,29280,1830,2060,23.973,26.677,50.65,100,2025
M000014,378702213005.0,79000,4940,5570,23.973,26.677,50.65,100,2025
M000017,378702233001.0,15160,950,1070,23.973,26.677,50.65,100,2025
M000020,378702213005.0,10470,650,740,23.973,26.677,50.65,100,2025
M000024,378702200058.0,17970,1120,1270,23.973,26.677,50.65,100,2025
M000025,378702213005.0,16470,1030,1160,23.973,26.677,50.65,100,2025
M000027,378702213005.0,18940,1180,1340,23.973,26.677,50.65,100,2025
M000044,351722012002.0,49900,3120,3520,24.619,26.677,51.296,601,2025
M000045,378702213005.0,46590,2910,3280,23.973,26.677,50.65,100,2025
M000057,378702200058.0,35120,2200,2480,23.973,26.677,50.65,100,2025
M000066,378702233001.0,21420,1340,1510,23.973,26.677,50.65,100,2025
M000069,370135437002.0,28010,1750,1970,23.973,26.677,50.65,100,2025
M000071,370135300045.0,20970,1310,1480,23.973,26.677,50.65,100,2025
M000086,370135446003.0,39230,2450,2770,23.973,26.677,50.65,100,2025
M000092,370135300045.0,16620,1040,1170,23.973,26.677,50.65,100,2025
M000097,378702107007.0,46850,2930,3300,23.973,26.677,50.65,100,2025
M000105,398300000027.0,44130,2760,3110,23.852,26.677,50.529,602,2025
M000109,378702200058.0,20970,1310,1480,23.973,26.677,50.65,100,2025
M000114,378701238007.0,15160,950,1070,23.973,26.677,50.65,100,2025
M000115,378702213005.0,40360,2520,2850,23.973,26.677,50.65,100,2025
M000120,378702200058.0,20970,1310,1480,23.973,26.677,50.65,100,2025
M000121,378702200058.0,43900,2740,3090,23.973,26.677,50.65,100,2025
M000123,378701238007.0,32290,2020,2280,23.973,26.677,50.65,100,2025
M000129,370135300045.0,19170,1200,1350,23.973,26.677,50.65,100,2025
M000133,378702200058.0,0,0,0,23.973,26.677,50.65,100,2025
M000134,378702200058.0,35120,2200,2480,23.973,26.677,50.65,100,2025
M000136,378702117004.0,19090,1190,1350,23.973,26.677,50.65,100,2025
M000142,370135430005.0,19770,1240,1390,23.973,26.677,50.65,100,2025
M000148,370135429007.0,55700,3480,3930,23.973,26.677,50.65,100,2025
M000149,378702213005.0,22650,1420,1600,23.973,26.677,50.65,100,2025
M000150,370135437007.0,14280,890,1010,23.973,26.677,50.65,100,2025
M000152,370135300045.0,41090,2570,2900,23.973,26.677,50.65,100,2025
M000155,378701238010.0,18940,1180,1340,23.973,26.677,50.65,100,2025
M000169,378702201021.0,15880,990,1120,23.973,26.677,50.65,100,2025
M000193,378702213005.0,46130,2880,3250,23.973,26.677,50.65,100,2025
M000206,370124000081.0,26360,1650,1860,24.619,26.677,51.296,601,2025
M000214,370135300045.0,43240,2700,3050,23.973,26.677,50.65,100,2025
M000223,378533003001.0,36320,2270,1280,24.619,26.677,51.296,601,2025
M000224,378701238010.0,28830,1800,2030,23.973,26.677,50.65,100,2025
M000225,370135446003.0,48290,3020,3400,23.973,26.677,50.65,100,2025
M000228,378702213005.0,15160,950,1070,23.973,26.677,50.65,100,2025
M000236,378702233001.0,37480,2340,2640,23.973,26.677,50.65,100,2025
M000210,370135300045.0,17040,1070,1200,23.973,26.677,50.65,100,2025
M000212,378702200058.0,19160,1200,1350,23.973,26.677,50.65,100,2025
M000216,370135300045.0,49140,3070,3460,23.973,26.677,50.65,100,2025
M000218,370135429007.0,22650,1420,1600,23.973,26.677,50.65,100,2025
M000227,370135300045.0,22460,1400,1580,23.973,26.677,50.65,100,2025
M000233,378702110004.0,28740,1800,2030,23.973,26.677,50.65,100,2025
M000240,378702200058.0,46400,2900,3270,23.973,26.677,50.65,100,2025
M000243,378702200058.0,17220,1080,1210,23.973,26.677,50.65,100,2025
M000253,378702200058.0,49800,3110,3510,23.973,26.677,50.65,100,2025
M000254,378702213005.0,33130,2070,2340,23.973,26.677,50.65,100,2025
M000255,378701238007.0,20520,1280,1450,23.973,26.677,50.65,100,2025
M000259,370135429007.0,3780,240,270,23.973,26.677,50.65,100,2025
M000262,378702213005.0,37480,2340,2640,23.973,26.677,50.65,100,2025
M000265,370135431001.0,16470,1030,1160,23.973,26.677,50.65,100,2025
M000266,370135432001.0,16470,1030,1160,23.973,26.677,50.65,100,2025
M000268,370135431001.0,18120,1130,1280,23.973,26.677,50.65,100,2025
M000272,370135432001.0,13180,820,930,23.973,26.677,50.65,100,2025
M000273,370135432001.0,13180,820,930,23.973,26.677,50.65,100,2025
M000275,370135432001.0,16470,1030,1160,23.973,26.677,50.65,100,2025
M000280,370135432001.0,16470,1030,1160,23.973,26.677,50.65,100,2025
M000281,370135432001.0,16470,1030,1160,23.973,26.677,50.65,100,2025
M000282,370135432001.0,16470,1030,1160,23.973,26.677,50.65,100,2025
M000288,370135432001.0,16470,1030,1160,23.973,26.677,50.65,100,2025
M000289,370135432001.0,16470,1030,1160,23.973,26.677,50.65,100,2025
M000291,370135432001.0,16470,1030,1160,23.973,26.677,50.65,100,2025
M000293,370135432001.0,16470,1030,1160,23.973,26.677,50.65,100,2025
M000294,370135432001.0,18120,1130,1280,23.973,26.677,50.65,100,2025
M000295,370135431001.0,15810,990,1110,23.973,26.677,50.65,100,2025
M000297,370135431001.0,22650,1420,1600,23.973,26.677,50.65,100,2025
M000299,370135431001.0,13180,820,930,23.973,26.677,50.65,100,2025
M000301,370135431001.0,13180,820,930,23.973,26.677,50.65,100,2025
M000305,370135431001.0,16470,1030,1160,23.973,26.677,50.65,100,2025
M000306,378702107007.0,14990,940,1060,23.973,26.677,50.65,100,2025
M000309,378702213005.0,55860,3490,3940,23.973,26.677,50.65,100,2025
M000311,378701238007.0,10470,650,740,23.973,26.677,50.65,100,2025
M000323,378702200058.0,16770,1050,1180,23.973,26.677,50.65,100,2025
M000326,378702233001.0,15160,950,1070,23.973,26.677,50.65,100,2025
M000328,370124011013.0,16680,1040,590,24.619,26.677,51.296,601,2025
M000330,343700000019.0,34600,2160,2440,24.619,26.677,51.296,601,2025
M000335,378702201021.0,71390,4460,5030,23.973,26.677,50.65,100,2025
M000339,378702233001.0,33150,2070,2340,23.973,26.677,50.65,100,2025
M000239,370135300045.0,39970,2500,1410,23.973,26.677,50.65,100,2025
M000245,378701238010.0,21830,1360,1540,23.973,26.677,50.65,100,2025
M000248,370135300045.0,49470,3090,3490,23.973,26.677,50.65,100,2025
M000249,370135446003.0,23060,1440,1630,23.973,26.677,50.65,100,2025
M000252,370135300045.0,163930,10250,11560,23.973,26.677,50.65,100,2025
M000256,378702115004.0,36690,2290,2590,23.973,26.677,50.65,100,2025
M000257,378702200058.0,19460,1220,1370,23.973,26.677,50.65,100,2025
M000260,370135446003.0,1110,70,80,23.973,26.677,50.65,100,2025
M000267,370135431001.0,18120,1130,1280,23.973,26.677,50.65,100,2025
M000269,370135431001.0,18120,1130,1280,23.973,26.677,50.65,100,2025
M000270,370135431001.0,18120,1130,1280,23.973,26.677,50.65,100,2025
M000271,370135431001.0,18120,1130,1280,23.973,26.677,50.65,100,2025
M000274,370135431001.0,13180,820,930,23.973,26.677,50.65,100,2025
M000276,370135431001.0,15810,990,1110,23.973,26.677,50.65,100,2025
M000277,370135431001.0,15810,990,1110,23.973,26.677,50.65,100,2025
M000278,370135431001.0,16470,1030,1160,23.973,26.677,50.65,100,2025
M000279,370135431001.0,16470,1030,1160,23.973,26.677,50.65,100,2025
M000283,370135432001.0,16470,1030,1160,23.973,26.677,50.65,100,2025
M000284,370135432001.0,16470,1030,1160,23.973,26.677,50.65,100,2025
M000285,370135432001.0,16470,1030,1160,23.973,26.677,50.65,100,2025
M000287,370135432001.0,20590,1290,1450,23.973,26.677,50.65,100,2025
M000290,370135432001.0,16470,1030,1160,23.973,26.677,50.65,100,2025
M000292,370135432001.0,20590,1290,1450,23.973,26.677,50.65,100,2025
M000296,370135431001.0,13180,820,930,23.973,26.677,50.65,100,2025
M000298,370135431001.0,13180,820,930,23.973,26.677,50.65,100,2025
M000302,370135431001.0,16470,1030,1160,23.973,26.677,50.65,100,2025
M000304,370135431001.0,16470,1030,1160,23.973,26.677,50.65,100,2025
M000313,378702107001.0,23060,1440,1630,23.973,26.677,50.65,100,2025
M000315,378701238010.0,0,0,0,23.973,26.677,50.65,100,2025
M000319,370135300045.0,16770,1050,1180,23.973,26.677,50.65,100,2025
M000321,370135300045.0,24960,1560,1760,23.973,26.677,50.65,100,2025
M000324,378702213005.0,48130,3010,3390,23.973,26.677,50.65,100,2025
M000337,370135300045.0,135200,8450,9530,23.973,26.677,50.65,100,2025
M000340,378701238007.0,45760,2860,3230,23.973,26.677,50.65,100,2025
M000344,378701238007.0,89230,5580,6290,23.973,26.677,50.65,100,2025
M000345,370135300045.0,39310,2460,2770,23.973,26.677,50.65,100,2025
M000350,370135300045.0,43240,2700,3050,23.973,26.677,50.65,100,2025
M000352,378702200058.0,39310,2460,2770,23.973,26.677,50.65,100,2025
M000355,378702233001.0,15160,950,1070,23.973,26.677,50.65,100,2025
M000374,370124000081.0,23060,1440,1630,24.619,26.677,51.296,601,2025
M000493,378702107001.0,18740,1170,1320,23.973,26.677,50.65,100,2025
M000348,370135437002.0,18870,1180,1330,23.973,26.677,50.65,100,2025
M000351,378702200058.0,46520,2910,3280,23.973,26.677,50.65,100,2025
M000357,378702200058.0,0,0,0,23.973,26.677,50.65,100,2025
M000358,370135300045.0,22460,1400,1580,23.973,26.677,50.65,100,2025
M000371,378702233001.0,18070,1130,1270,23.973,26.677,50.65,100,2025
M000372,370124000081.0,35140,2200,2480,24.619,26.677,51.296,601,2025
M000498,378702200058.0,34590,2160,2440,23.973,26.677,50.65,100,2025
M002474,325503126022.0,71180,4450,2510,44.315,26.677,70.992,200,2025
M002481,325503126026.0,40740,2550,2870,44.315,26.677,70.992,200,2025
M002493,398100000024.0,3060,190,220,23.852,26.677,50.529,602,2025
M003615,369110209003.0,11240,700,790,30.009,26.677,56.686,300,2025
M003622,369109136006.0,41620,2600,2930,30.009,26.677,56.686,300,2025
M003624,369109137012.0,25770,1610,1820,30.009,26.677,56.686,300,2025
M003625,369110210004.0,14470,900,1020,30.009,26.677,56.686,300,2025
M003945,291726141003.0,0,0,0,37.089,26.677,63.766,400,2025
M003946,291726105018.0,15760,990,1110,37.089,26.677,63.766,400,2025
M006346,378129100008.0,0,0,0,24.619,26.677,51.296,601,2025
M006354,370124000081.0,48290,3020,3400,24.619,26.677,51.296,601,2025
M006356,369932000004.0,28110,1760,1980,24.619,26.677,51.296,601,2025
M006366,379100000042.0,29670,1850,2090,24.619,26.677,51.296,601,2025
M006370,378500000012.0,23700,1480,1670,24.619,26.677,51.296,601,2025
M006373,370122301006.0,36170,2260,1270,24.619,26.677,51.296,601,2025
M006385,369526200011.0,35770,2240,2520,24.619,26.677,51.296,601,2025
M006396,378700000052.0,24770,1550,1750,24.619,26.677,51.296,601,2025
M006403,370124000081.0,18940,1180,1340,24.619,26.677,51.296,601,2025
M006404,370124000081.0,15160,950,1070,24.619,26.677,51.296,601,2025
M006411,370124000081.0,31270,1950,2200,24.619,26.677,51.296,601,2025
M006414,370124000081.0,13180,820,930,24.619,26.677,51.296,601,2025
M006415,370125000002.0,23980,1500,1690,24.619,26.677,51.296,601,2025
M006421,370125000010.0,206270,12890,7490,24.619,26.677,51.296,601,2025
M006440,351722012002.0,25420,1590,1790,24.619,26.677,51.296,601,2025
M006489,378500000018.0,35490,2220,2500,24.619,26.677,51.296,601,2025
M006490,370135300045.0,49800,3110,3510,23.973,26.677,50.65,100,2025
M006504,369500000030.0,11580,720,820,24.619,26.677,51.296,601,2025
M006512,351722012002.0,60150,3760,4240,24.619,26.677,51.296,601,2025
M006513,370124000081.0,21470,1340,1510,24.619,26.677,51.296,601,2025
M006523,378903000004.0,40730,2550,2870,24.619,26.677,51.296,601,2025
M006524,351722012002.0,22360,1400,1580,24.619,26.677,51.296,601,2025
M006530,379300000024.0,23350,1460,1650,24.619,26.677,51.296,601,2025
M006532,378500000018.0,49750,13430,13430,24.619,26.677,51.296,601,2025
M006533,370125000035.0,0,0,0,24.619,26.677,51.296,601,2025
M006541,370122304011.0,22550,1410,1590,24.619,26.677,51.296,601,2025
M006543,351722012002.0,29350,1830,2070,24.619,26.677,51.296,601,2025
M006556,351722012002.0,49960,3120,3520,24.619,26.677,51.296,601,2025
M006558,378708000028.0,10110,630,710,24.619,26.677,51.296,601,2025
M006571,351722012002.0,20970,1310,1480,24.619,26.677,51.296,601,2025
M006577,378700000092.0,0,0,0,24.619,26.677,51.296,601,2025
M006581,351700000013.0,44030,2750,3100,24.619,26.677,51.296,601,2025
M006585,351722012002.0,55040,3440,3880,24.619,26.677,51.296,601,2025
M006587,370124000081.0,19120,1200,1350,24.619,26.677,51.296,601,2025
M006592,351722012002.0,64470,4030,4550,24.619,26.677,51.296,601,2025
M006594,424300000051.0,1360,90,100,23.852,26.677,50.529,602,2025
M006596,378708001011.0,32430,2030,2290,24.619,26.677,51.296,601,2025
M006601,370124000081.0,21000,1310,1480,24.619,26.677,51.296,601,2025
M006603,378500000018.0,29180,1820,2060,24.619,26.677,51.296,601,2025
M006608,370122301025.0,38360,2400,2700,24.619,26.677,51.296,601,2025
M006625,370122305004.0,34060,2130,2400,24.619,26.677,51.296,601,2025
M006630,378703400027.0,47570,2970,3350,24.619,26.677,51.296,601,2025
M006631,370124000081.0,36690,2290,2590,24.619,26.677,51.296,601,2025
M006632,378702213005.0,16060,1000,1130,23.973,26.677,50.65,100,2025
M006642,370124011026.0,16940,1060,1190,24.619,26.677,51.296,601,2025
M006643,370124000081.0,37480,2340,2640,24.619,26.677,51.296,601,2025
M006645,351722012002.0,47700,2980,3360,24.619,26.677,51.296,601,2025
M006656,351722012002.0,42860,2680,3020,24.619,26.677,51.296,601,2025
M006660,351714401011.0,23980,1500,1690,24.619,26.677,51.296,601,2025
M006667,370135446003.0,32760,2050,2310,23.973,26.677,50.65,100,2025
M006674,351722012002.0,28130,1760,1980,24.619,26.677,51.296,601,2025
M006675,370135446003.0,20210,1260,1420,23.973,26.677,50.65,100,2025
M006677,378708001010.0,45150,2820,3180,24.619,26.677,51.296,601,2025
M006680,378702200058.0,36690,2290,2590,23.973,26.677,50.65,100,2025
M006682,370124000081.0,16140,1010,1140,24.619,26.677,51.296,601,2025
M006684,378702115004.0,107080,6690,7550,23.973,26.677,50.65,100,2025
M006685,378704000003.0,36320,2270,2560,24.619,26.677,51.296,601,2025
M006687,378708001009.0,32430,2030,2290,24.619,26.677,51.296,601,2025
M006699,370124000082.0,41280,2580,2910,24.619,26.677,51.296,601,2025
M006700,370124000081.0,19050,1190,1340,24.619,26.677,51.296,601,2025
M006702,351722012002.0,29350,1830,2070,24.619,26.677,51.296,601,2025
M006704,370124011003.0,6870,430,240,24.619,26.677,51.296,601,2025
M006708,379114300005.0,37430,2340,2640,24.619,26.677,51.296,601,2025
M011076,326300000004.0,27150,1700,1910,23.852,26.677,50.529,602,2025
M017577,431300000039.0,21210,1330,1500,23.852,26.677,50.529,602,2025
M017578,370122301014.0,21750,1360,1530,24.619,26.677,51.296,601,2025
M017813,325503126020.0,93410,5840,6590,44.315,26.677,70.992,200,2025
M024641,370122306010.0,17790,1110,1250,24.619,26.677,51.296,601,2025
M025323,378702200058.0,43900,2740,3090,23.973,26.677,50.65,100,2025
M025327,378702200058.0,103430,6460,7290,23.973,26.677,50.65,100,2025
M025557,378702200058.0,143210,8950,10100,23.973,26.677,50.65,100,2025
M025769,369100000013.0,275180,17200,19400,24.619,26.677,51.296,601,2025
M026409,378500000028.0,122050,7630,8600,24.619,26.677,51.296,601,2025
M026410,370124000081.0,48290,3020,3400,24.619,26.677,51.296,601,2025
M026412,378701238010.0,0,0,0,23.973,26.677,50.65,100,2025
M026520,370124000081.0,139000,8690,9800,24.619,26.677,51.296,601,2025
M026522,378500000028.0,309120,19320,21790,24.619,26.677,51.296,601,2025
M026584,378702233001.0,19780,1240,1390,24.619,26.677,51.296,601,2025
M026801,370124000081.0,38340,2400,2700,24.619,26.677,51.296,601,2025
M026802,378702200058.0,29810,1860,2100,23.973,26.677,50.65,100,2025
M027381,378500000018.0,49660,3100,3500,24.619,26.677,51.296,601,2025
M027447,318300000074.0,69840,4370,4920,24.787,30.176,54.963,704,2025
M027480,398500000071.0,34400,2150,2430,21.901,28.994,50.895,801,2025
M027520,370124000081.0,14430,900,1020,24.619,26.677,51.296,601,2025
M027522,378702200058.0,33360,2090,2350,23.973,26.677,50.65,100,2025
M027731,378702200058.0,33620,2100,2370,23.973,26.677,50.65,100,2025
M027816,378702143006.0,18840,1180,1330,23.973,26.677,50.65,100,2025
M027916,378702233001.0,47570,2970,1680,23.973,26.677,50.65,100,2025
M027918,370135300045.0,99540,6220,7020,23.973,26.677,50.65,100,2025
M027922,378500000018.0,58770,3670,4140,24.619,26.677,51.296,601,2025
M027988,325503126014.0,145950,9120,10290,44.315,26.677,70.992,200,2025
M030098,370135300045.0,221130,13820,15590,23.973,26.677,50.65,100,2025
M030103,378500000018.0,31450,1970,2220,24.619,26.677,51.296,601,2025
M030482,351722012002.0,58380,3650,4120,24.619,26.677,51.296,601,2025
M030483,351722012002.0,60540,3780,4270,24.619,26.677,51.296,601,2025
M030486,370135300045.0,93290,5830,6580,23.973,26.677,50.65,100,2025
M030488,370135446003.0,57340,3580,4040,23.973,26.677,50.65,100,2025
M030509,378500000018.0,29650,1850,2090,24.619,26.677,51.296,601,2025
M030594,370122301023.0,39780,2490,2800,24.619,26.677,51.296,601,2025
M030621,370124000081.0,24710,1540,1740,24.619,26.677,51.296,601,2025
M030719,370135300045.0,200660,12540,7100,23.973,26.677,50.65,100,2025
M030720,370124000081.0,95090,5940,6700,24.619,26.677,51.296,601,2025
M030728,370124000081.0,23830,1490,1680,24.619,26.677,51.296,601,2025
M030793,370124000081.0,15350,960,1080,24.619,26.677,51.296,601,2025
M030809,378500000014.0,30340,8190,8190,24.619,26.677,51.296,601,2025
M030810,378500000014.0,30340,8190,8190,24.619,26.677,51.296,601,2025
M030811,378500000014.0,30340,8190,8190,24.619,26.677,51.296,601,2025
M030812,378500000014.0,30340,8190,8190,24.619,26.677,51.296,601,2025
M030813,378500000014.0,29740,8030,8030,24.619,26.677,51.296,601,2025
M030943,370124000081.0,20580,1290,1450,24.619,26.677,51.296,601,2025
M031037,378702200058.0,54050,3380,3810,23.973,26.677,50.65,100,2025
M031055,378702200058.0,54050,3380,3810,23.973,26.677,50.65,100,2025
M031071,378702200058.0,99540,6220,7020,23.973,26.677,50.65,100,2025
M031103,370124011005.0,49770,3110,3510,24.619,26.677,51.296,601,2025
M031107,378903001004.0,191120,11950,13470,24.619,26.677,51.296,601,2025
M031132,370135300045.0,170530,10660,12020,23.973,26.677,50.65,100,2025
M031140,370135446003.0,19770,1240,1390,23.973,26.677,50.65,100,2025
M031141,378500000014.0,31770,8580,8580,24.619,26.677,51.296,601,2025
M031143,378500000014.0,30120,8130,8130,24.619,26.677,51.296,601,2025
M031144,378500000014.0,30120,8130,8130,24.619,26.677,51.296,601,2025
M031147,431300000019.0,277790,17360,19580,23.852,26.677,50.529,602,2025
M031174,404500000064.0,119250,7450,8410,22.715,26.677,49.392,609,2025
M031175,370135446003.0,59460,3720,4190,23.973,26.677,50.65,100,2025
M031228,378702201011.0,250000,15630,10580,23.973,26.677,50.65,100,2025
M031285,378702200058.0,108160,6760,7630,23.973,26.677,50.65,100,2025
M031294,351722012002.0,103060,6440,7270,24.619,26.677,51.296,601,2025
M031432,370125000035.0,77010,4810,2710,24.619,26.677,51.296,601,2025
M031433,378702106003.0,40360,2520,1420,23.973,26.677,50.65,100,2025
M031434,325503126008.0,74740,4670,5270,44.315,26.677,70.992,200,2025
M031606,378500000014.0,114110,7130,8040,24.619,26.677,51.296,601,2025
M031607,378500000014.0,113020,7060,7970,24.619,26.677,51.296,601,2025
M031609,378500000014.0,108110,6760,7620,24.619,26.677,51.296,601,2025
M031610,378500000014.0,29820,8050,8050,24.619,26.677,51.296,601,2025
M031612,378500000014.0,29820,8050,8050,24.619,26.677,51.296,601,2025
M031613,378500000014.0,29820,8050,8050,24.619,26.677,51.296,601,2025
M032052,351722012002.0,75680,4730,5340,24.619,26.677,51.296,601,2025
M032234,378702107001.0,156160,9760,11010,23.973,26.677,50.65,100,2025
M032248,325503126010.0,101880,6370,7180,44.315,26.677,70.992,200,2025
M032258,325503126009.0,168060,10500,11850,44.315,26.677,70.992,200,2025
M032657,378708001025.0,81900,5120,5770,24.619,26.677,51.296,601,2025
M032658,378708000028.0,40040,2500,2820,24.619,26.677,51.296,601,2025
M032679,370124011002.0,51380,3210,3620,24.619,26.677,51.296,601,2025
M032716,378708000028.0,41180,2570,2900,24.619,26.677,51.296,601,2025
M032790,378702200079.0,96330,6020,6790,23.973,26.677,50.65,100,2025
M032990,378702200079.0,97010,6060,6840,23.973,26.677,50.65,100,2025
M032991,378702200079.0,99540,6220,7020,23.973,26.677,50.65,100,2025
M033053,378702200079.0,99540,6220,3510,23.973,26.677,50.65,100,2025
M033135,378702200079.0,99540,6220,7020,23.973,26.677,50.65,100,2025
M033137,370125000010.0,113570,7100,8010,24.619,26.677,51.296,601,2025
M033138,378702200058.0,45210,2830,3190,23.973,26.677,50.65,100,2025
M033141,370135446003.0,46850,2930,3300,23.973,26.677,50.65,100,2025
M033142,378702200058.0,45860,2870,3230,23.973,26.677,50.65,100,2025
M033143,370122304062.0,141290,8830,9960,24.619,26.677,51.296,601,2025
M033148,378500000014.0,31170,8420,8420,24.619,26.677,51.296,601,2025
M033149,378500000014.0,31170,8420,8420,24.619,26.677,51.296,601,2025
M033150,378500000014.0,31170,8420,8420,24.619,26.677,51.296,601,2025
M033151,378500000014.0,31170,8420,8420,24.619,26.677,51.296,601,2025
M033154,378500000014.0,29820,8050,8050,24.619,26.677,51.296,601,2025
M033160,370122303053.0,124380,7770,8770,24.619,26.677,51.296,601,2025
M033167,378702200058.0,73350,4580,5170,23.973,26.677,50.65,100,2025
M033172,370135300045.0,102750,6420,7240,23.973,26.677,50.65,100,2025
M033173,325503126017.0,159210,9950,5610,44.315,26.677,70.992,200,2025
M033182,396900000030.0,309270,19330,21800,24.619,26.677,51.296,601,2025
M033183,378702200058.0,108160,6760,7630,23.973,26.677,50.65,100,2025
M033185,378702200058.0,108160,6760,7630,23.973,26.677,50.65,100,2025
M033186,378702200058.0,108160,6760,7630,23.973,26.677,50.65,100,2025
M033187,370124000081.0,41130,2570,2900,24.619,26.677,51.296,601,2025
M033190,378500000014.0,31170,8420,8420,24.619,26.677,51.296,601,2025
M033191,378500000014.0,31170,8420,8420,24.619,26.677,51.296,601,2025
M033192,378500000014.0,31170,8420,8420,24.619,26.677,51.296,601,2025
M033193,378500000014.0,31170,8420,8420,24.619,26.677,51.296,601,2025
M033194,378500000014.0,31170,8420,8420,24.619,26.677,51.296,601,2025
M033209,378702200058.0,102750,6420,7240,23.973,26.677,50.65,100,2025
M033211,378500000018.0,143850,8990,10140,24.619,26.677,51.296,601,2025
M033217,351722012002.0,143850,8990,10140,24.619,26.677,51.296,601,2025
M033218,378700000050.0,126750,7920,8940,24.619,26.677,51.296,601,2025
M033220,370135300045.0,102750,6420,7240,23.973,26.677,50.65,100,2025
M033242,378702200058.0,89230,5580,6290,23.973,26.677,50.65,100,2025
M033248,370135432001.0,43240,2700,3050,23.973,26.677,50.65,100,2025
M033253,370124000082.0,39310,10610,10610,24.619,26.677,51.296,601,2025
M033254,370124000082.0,39310,10610,10610,24.619,26.677,51.296,601,2025
M033256,325502002003.0,663390,179120,179120,44.315,26.677,70.992,200,2025
M033258,378903001001.0,22410,1400,1580,24.619,26.677,51.296,601,2025
M033264,370134000019.0,44030,2750,3100,24.619,26.677,51.296,601,2025
M033279,378708000028.0,102210,6390,7210,24.619,26.677,51.296,601,2025
M071248,378714000001.0,59620,3730,4200,24.619,26.677,51.296,601,2025
M071372,370135300045.0,117880,7370,8310,23.973,26.677,50.65,100,2025
M071573,378500000014.0,30950,8360,8360,24.619,26.677,51.296,601,2025
M072628,370135437005.0,296490,18530,20900,23.973,26.677,50.65,100,2025
M073137,370135300045.0,110910,6930,7820,23.973,26.677,50.65,100,2025
M073138,370135300045.0,110910,6930,7820,23.973,26.677,50.65,100,2025
M074282,378700000006.0,142590,8910,10050,24.619,26.677,51.296,601,2025
M074403,378701238010.0,126060,7880,8890,23.973,26.677,50.65,100,2025
M074686,378702116004.0,122000,7630,8600,23.973,26.677,50.65,100,2025
M074691,378702116004.0,122000,7630,8600,23.973,26.677,50.65,100,2025
M074692,378702116004.0,122000,7630,8600,23.973,26.677,50.65,100,2025
