account_number,parcel_number,property_type,economic_area,site_address
M000134,378702200058,Residential,1,"301 S 2ND ST UNIT# 55, GUNNISON"
M000136,378702117004,Exempt,1,"219 S 11TH ST , GUNNISON"
M000137,378702213005,Vacant,1,"326 REED ST UNIT# 26, GUNNISON"
M000138,370135300045,Residential,1,"1313 W OHIO AVE UNIT# 25, GUNNISON"
M000141,378702200058,Residential,1,"301 S 2ND ST UNIT# 59, GUNNISON"
M000142,370135430005,Exempt,1,"321 N 10TH ST UNIT# 1, GUNNISON"
M000148,370135429007,Residential,1,"316 N 10TH ST UNIT# 1, GUNNISON"
M000149,378702213005,Exempt,1,"322 REED ST UNIT# 22, GUNNISON"
M000150,370135437007,Exempt,1,"1006 W TOMICHI AVE UNIT# 3, GUNNISON"
M000152,370135300045,Residential,1,"1313 W OHIO AVE UNIT# 24, GUNNISON"
M000155,378701238010,Exempt,1,"404 W RIO GRANDE AVE UNIT# 7, GUNNISON"
M000156,378702106003,Residential,1,"614 W GUNNISON AVE UNIT# 1, GUNNISON"
M000158,378702200058,Residential,1,"301 S 2ND ST UNIT# 11, GUNNISON"
M000161,378702213005,Residential,1,"312 REED ST UNIT# 12, GUNNISON"
M000165,378702200058,Residential,1,"301 S 2ND ST UNIT# 53, GUNNISON"
M000169,378702201021,Exempt,1,"1107 W TOMICHI AVE UNIT# 3, GUNNISON"
M000174,378701238010,Exempt,1,"404 W RIO GRANDE AVE UNIT# 15, GUNNISON"
M000177,378702213005,Vacant,1,"REED ST , GUNNISON"
M000179,378702213005,Exempt,1,"316 REED ST UNIT# 16, GUNNISON"
M000183,378702117005,Residential,1,"211 S 11TH ST , GUNNISON"
M000187,370135300045,Residential,1,"1313 W OHIO AVE UNIT# 12, GUNNISON"
M000189,378701238010,Exempt,1,"404 W RIO GRANDE AVE UNIT# 10, GUNNISON"
M000190,378702233001,Residential,1,"700 US HIGHWAY 50 UNIT# 1, GUNNISON"
M000192,378702200058,Residential,1,"301 S 2ND ST UNIT# 21, GUNNISON"
M000193,378702213005,Residential,1,"311 REED ST UNIT# 11, GUNNISON"
M000196,370135300045,Exempt,1,"1313 W OHIO AVE UNIT# 16, GUNNISON"
M000199,378702200058,Residential,1,"301 S 2ND ST UNIT# 19, GUNNISON"
M000206,370124000081,Exempt,1,"2388 STATE HIGHWAY 135 UNIT# 28, GUNNISON"
M000208,378702106003,Residential,1,"614 W GUNNISON AVE UNIT# 3, GUNNISON"
M000210,370135300045,Exempt,1,"1313 W OHIO AVE UNIT# 37, GUNNISON"
M000212,378702200058,Exempt,1,"301 S 2ND ST UNIT# 24, GUNNISON"
M000214,370135300045,Residential,1,"1313 W OHIO AVE UNIT# 39, GUNNISON"
M000216,370135300045,Residential,1,"1313 W OHIO AVE UNIT# 28, GUNNISON"
M000218,370135429007,Exempt,1,"316 N 10TH ST UNIT# 4, GUNNISON"
M000223,378533003001,Residential,8,"31850 STATE HIGHWAY 149 , IOLA - NINE MILE"
M000224,378701238010,Residential,1,"404 W RIO GRANDE AVE UNIT# 9, GUNNISON"
M000225,370135446003,Residential,1,"220 N BOULEVARD ST UNIT# 7, GUNNISON"
M000227,370135300045,Exempt,1,"1313 W OHIO AVE UNIT# 33, GUNNISON"
M000228,378702213005,Exempt,1,"321 REED ST UNIT# 21, GUNNISON"
M000231,378702213005,Vacant,1,"320 REED ST UNIT# 10, GUNNISON"
M000233,378702110004,Residential,1,"312 S BOULEVARD ST UNIT# 1/2, GUNNISON"
M000236,378702233001,Residential,1,"700 US HIGHWAY 50 UNIT# 6, GUNNISON"
M000239,370135300045,Residential,1,"1313 W OHIO AVE UNIT# 19, GUNNISON"
M000240,378702200058,Residential,1,"301 S 2ND ST UNIT# 20, GUNNISON"
M000243,378702200058,Exempt,1,"301 S 2ND ST UNIT# 17, GUNNISON"
M000245,378701238010,Exempt,1,"404 W RIO GRANDE AVE UNIT# 8, GUNNISON"
M000248,370135300045,Residential,1,"1313 W OHIO AVE UNIT# 41, GUNNISON"
M000249,370135446003,Exempt,1,"220 N BOULEVARD ST UNIT# 20, GUNNISON"
M000252,370135300045,Residential,1,"1313 W OHIO AVE UNIT# 40, GUNNISON"
M000253,378702200058,Residential,1,"301 S 2ND ST UNIT# 39, GUNNISON"
M000254,378702213005,Residential,1,"308 REED ST UNIT# 8, GUNNISON"
M000255,378701238007,Exempt,1,"404 W RIO GRANDE AVE UNIT# 5, GUNNISON"
M000256,378702115004,Residential,1,"1000 W NEW YORK AVE , GUNNISON"
M000257,378702200058,Exempt,1,"301 S 2ND ST UNIT# 50, GUNNISON"
M000259,370135429007,Exempt,1,"316 N 10TH ST UNIT# 2, GUNNISON"
M000260,370135446003,Exempt,1,"220 N BOULEVARD ST UNIT# 18, GUNNISON"
M000262,378702213005,Residential,1,"318 REED ST UNIT# 18, GUNNISON"
M000265,370135431001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 25, GUNNISON"
M000266,370135432001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 17, GUNNISON"
M000267,370135431001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 37, GUNNISON"
M000268,370135431001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 39, GUNNISON"
M000269,370135431001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 42, GUNNISON"
M000270,370135431001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 36, GUNNISON"
M000271,370135431001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 43, GUNNISON"
M000272,370135432001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 11, GUNNISON"
M000273,370135432001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 10, GUNNISON"
M000274,370135431001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 30, GUNNISON"
M000275,370135432001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 9, GUNNISON"
M000276,370135431001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 38, GUNNISON"
M000277,370135431001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 41, GUNNISON"
M000278,370135431001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 29, GUNNISON"
M000279,370135431001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 27, GUNNISON"
M000280,370135432001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 4, GUNNISON"
M000281,370135432001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 6, GUNNISON"
M000282,370135432001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 2, GUNNISON"
M000283,370135432001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 8, GUNNISON"
M000284,370135432001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 1, GUNNISON"
M000285,370135432001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 15, GUNNISON"
M000287,370135432001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 20, GUNNISON"
M000288,370135432001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 19, GUNNISON"
M000289,370135432001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 21, GUNNISON"
M000290,370135432001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 5, GUNNISON"
M000291,370135432001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 7, GUNNISON"
M000292,370135432001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 3, GUNNISON"
M000293,370135432001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 16, GUNNISON"
M000294,370135432001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 14, GUNNISON"
M000295,370135431001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 40, GUNNISON"
M000296,370135431001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 32, GUNNISON"
M000297,370135431001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 22, GUNNISON"
M000298,370135431001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 34, GUNNISON"
M000299,370135431001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 31, GUNNISON"
M000301,370135431001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 35, GUNNISON"
M000302,370135431001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 23, GUNNISON"
M000304,370135431001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 28, GUNNISON"
M000305,370135431001,Exempt,1,"1010 W VIRGINIA AVE UNIT# 26, GUNNISON"
M000306,378702107007,Exempt,1,"502 W GUNNISON AVE UNIT# 2, GUNNISON"
M000309,378702213005,Residential,1,"307 S REED ST UNIT# 7, GUNNISON"
M000311,378701238007,Exempt,1,"404 W RIO GRANDE AVE UNIT# 2, GUNNISON"
M000313,378702107001,Exempt,1,"507 W NEW YORK AVE UNIT# 1, GUNNISON"
M000315,378701238010,Residential,1,"404 W RIO GRANDE AVE , GUNNISON"
M000319,370135300045,Exempt,1,"1313 W OHIO AVE UNIT# 29, GUNNISON"
M000321,370135300045,Exempt,1,"1313 W OHIO AVE UNIT# 17, GUNNISON"
M000323,378702200058,Exempt,1,"301 S 2ND ST UNIT# 36, GUNNISON"
M000324,378702213005,Residential,1,"305 S REED ST UNIT# 5, GUNNISON"
M000326,378702233001,Exempt,1,"700 US HIGHWAY 50 UNIT# 11, GUNNISON"
M000328,370124011013,Exempt,1,"19 PONDEROSA LN , GUNNISON"
M000330,343700000019,Residential,8,", OHIO CREEK VALLEY"
M000335,378702201021,Residential,1,"1107 W TOMICHI AVE UNIT# 1, GUNNISON"
M000337,370135300045,Residential,1,"1313 W OHIO AVE UNIT# 21, GUNNISON"
M000339,378702233001,Residential,1,"700 US HIGHWAY 50 , GUNNISON"
M000340,378701238007,Residential,1,"404 W RIO GRANDE AVE UNIT# 6, GUNNISON"
M000344,378701238007,Residential,1,"404 W RIO GRANDE AVE UNIT# 3, GUNNISON"
M000345,370135300045,Residential,1,"1313 W OHIO AVE UNIT# 35, GUNNISON"
M000348,370135437002,Exempt,1,"118 N 8TH ST , GUNNISON"
M000350,370135300045,Residential,1,"1313 W OHIO AVE UNIT# 27, GUNNISON"
M000351,378702200058,Residential,1,"301 S 2ND ST UNIT# 41, GUNNISON"
M000352,378702200058,Residential,1,"301 S 2ND ST UNIT# 27, GUNNISON"
M000355,378702233001,Exempt,1,"700 US HIGHWAY 50 UNIT# 12, GUNNISON"
M000357,378702200058,Residential,1,"301 S 2ND ST , GUNNISON"
M000358,370135300045,Exempt,1,"1313 W OHIO AVE UNIT# 7, GUNNISON"
M000371,378702233001,Exempt,1,"700 US HIGHWAY 50 UNIT# 5, GUNNISON"
M000372,370124000081,Residential,1,"2388 STATE HIGHWAY 135 UNIT# 36, GUNNISON"
M000374,370124000081,Exempt,1,"2388 STATE HIGHWAY 135 UNIT# 44, GUNNISON"
M000493,378702107001,Exempt,1,"507 W NEW YORK AVE UNIT# 2, GUNNISON"
M000495,370124000081,Residential,1,"2388 STATE HIGHWAY 135 UNIT# 39, GUNNISON"
M000498,378702200058,Residential,1,"301 S 2ND ST UNIT# 7, GUNNISON"
M002474,325503126022,Residential,2,"119 TEOCALLI AVE , CRESTED BUTTE"
M002478,370135300045,Residential,1,"1313 W OHIO AVE UNIT# 5, GUNNISON"
M002481,325503126026,Residential,2,"13 SECOND ST , CRESTED BUTTE"
M002488,325503126015,Residential,2,"105 TEOCALLI AVE , CRESTED BUTTE"
M002490,325503129005,Residential,2,"112 TEOCALLI AVE , CRESTED BUTTE"
M002493,398100000024,Exempt,8,"12900 COUNTY ROAD 26 ,"
M002497,325503126011,Residential,2,"104 BUTTE AVE UNIT# 15, CRESTED BUTTE"
M003615,369110209003,Exempt,8,"618 STATE ST , PITKIN"
M003617,369105000023,Exempt,8,", QUARTZ CREEK AREA"
M003622,369109136006,Residential,8,"215 MAIN ST , PITKIN"
M003624,369109137012,Exempt,8,"323 MAIN ST , PITKIN"
M003625,369110210004,Exempt,8,"708 STATE ST , PITKIN"
M003626,369109137013,Exempt,8,"323 MAIN ST , PITKIN"
M003627,369109407003,Exempt,8,"3 QUARTZ LN , PITKIN"
M003945,291726141003,Residential,8,"123 E 2ND ST , MARBLE"
M003946,291726105018,Exempt,8,"85 E HAYS ST , MARBLE"
M006346,378129100008,Residential,8,"3200 COUNTY ROAD 721 , SOAP MESA AREA"
M006348,370124000081,Residential,1,"2388 STATE HIGHWAY 135 UNIT# 46, GUNNISON"
M006351,378702115004,Residential,1,"1000 W NEW YORK AVE UNIT# 3, GUNNISON"
M006354,370124000081,Residential,1,"2388 STATE HIGHWAY 135 UNIT# 25, GUNNISON"
M006355,370122301011,Exempt,1,"20 FAWN DR , ANTELOPE CREEK AREA"
M006356,369932000004,Residential,1,"41965 US HIGHWAY 50 , GUNNISON"
M006359,370134000024,Exempt,1,"1549 COUNTY ROAD 17 , ANTELOPE CREEK AREA"
M006361,378500000018,Residential,8,"28357 US HIGHWAY 50 UNIT# 209, BLUE MESA RESERVOIR AREA"
M006365,397100000016,Exempt,8,"STATE HIGHWAY 114 , COCHETOPE CREEK DRAINAGE"
M006366,379100000042,Agricultural,8,"4274 STATE HIGHWAY 114 , COCHETOPE CREEK DRAINAGE"
M006370,378500000012,Exempt,8,"133 COUNTY ROAD 726 , GUNNISON"
M006373,370122301006,Residential,1,"89 MESA LOOP , ANTELOPE CREEK AREA"
M006377,370124000081,Exempt,1,"2388 STATE HIGHWAY 135 UNIT# 48, GUNNISON"
M006378,351722012002,Exempt,8,"95 GEORGE BAILEY DR UNIT# 5, ALMONT"
M006380,370124000081,Residential,1,"2388 STATE HIGHWAY 135 UNIT# 50, GUNNISON"
M006385,369526200011,Residential,8,"8385 COUNTY ROAD 76 , OHIO CITY"
M006391,370122305002,Residential,1,"20 SAGE LN , ANTELOPE CREEK AREA"
M006395,351500000013,Residential,8,"4408 COUNTY ROAD 730 , OHIO CREEK VALLEY"
M006396,378700000052,Exempt,1,"5700 COUNTY ROAD 38 , GOLD BASIN AREA"
M006397,369932000003,Exempt,1,"US HIGHWAY 50 , GUNNISON"
M006400,379300000054,Agricultural,8,"4180 COUNTY ROAD 76 , PARLIN"
M006402,370124000081,Exempt,1,"2388 STATE HIGHWAY 135 UNIT# 31, GUNNISON"
M006403,370124000081,Exempt,1,"2388 STATE HIGHWAY 135 UNIT# 38, GUNNISON"
M006404,370124000081,Exempt,1,"2388 STATE HIGHWAY 135 UNIT# 37, GUNNISON"
M006406,370124000081,Exempt,1,"2388 STATE HIGHWAY 135 UNIT# 58, GUNNISON"
M006407,370124000081,Exempt,1,"2388 STATE HIGHWAY 135 UNIT# 53, GUNNISON"
M006410,370124000081,Exempt,1,"2388 STATE HIGHWAY 135 UNIT# 56, GUNNISON"
M006411,370124000081,Residential,1,"2388 STATE HIGHWAY 135 UNIT# 55, GUNNISON"
M006412,370124000081,Exempt,1,"2388 STATE HIGHWAY 135 UNIT# 12, GUNNISON"
M006413,370124000081,Exempt,1,"2388 STATE HIGHWAY 135 UNIT# 57, GUNNISON"
M006414,370124000081,Exempt,1,"2388 STATE HIGHWAY 135 UNIT# 51, GUNNISON"
M006415,370125000002,Exempt,1,"2080 STATE HIGHWAY 135 , GUNNISON"
M006416,370125000002,Residential,1,"2082 STATE HIGHWAY 135 , GUNNISON"
M006417,378702233001,Residential,1,"700 US HIGHWAY 50 UNIT# 10, GUNNISON"
M006421,370125000010,Residential,1,"1676 STATE HIGHWAY 135 , GUNNISON"
M006422,378708001007,Exempt,1,"24 PHYLLIS LN , GUNNISON"
M006429,370124000081,Exempt,1,"2388 STATE HIGHWAY 135 UNIT# 7, GUNNISON"
M006431,397100000016,Exempt,8,"STATE HIGHWAY 114 , COCHETOPE CREEK DRAINAGE"
M006438,378702200058,Exempt,1,"301 S 2ND ST UNIT# 35, GUNNISON"
M006440,351722012002,Exempt,8,"95 GEORGE BAILEY DR UNIT# 18, ALMONT"
M006445,370125000035,Residential,1,"STATE HIGHWAY 135 , GUNNISON"
M006450,351722012002,Residential,8,"95 GEORGE BAILEY DR UNIT# 6, ALMONT"
M006469,351722012002,Residential,8,"95 GEORGE BAILEY DR UNIT# 3, ALMONT"
M006472,370124011007,Exempt,1,"31 PONDEROSA LN , GUNNISON"
M006474,405300000118,Exempt,8,"438 COUNTY ROAD 29 , POWDERHORN AREA"
M006478,378702106003,Residential,1,"614 W GUNNISON AVE UNIT# 10, GUNNISON"
M006482,370100000218,Agricultural,1,"607 COUNTY ROAD 730 , OHIO CREEK VALLEY"
M006489,378500000018,Residential,8,"28357 US HIGHWAY 50 UNIT# 18, BLUE MESA RESERVOIR AREA"
M006490,370135300045,Residential,1,"1313 W OHIO AVE UNIT# 2, GUNNISON"
M006491,378708000028,Exempt,1,"36128 US HIGHWAY 50 UNIT# K, GUNNISON"
M006504,369500000030,Exempt,8,"7006 COUNTY ROAD 76 , PARLIN"
M006507,378500000028,Exempt,8,"33000 STATE HIGHWAY 149 , IOLA - NINE MILE"
M006512,351722012002,Residential,8,"95 GEORGE BAILEY DR UNIT# 29, ALMONT"
M006513,370124000081,Exempt,1,"2388 STATE HIGHWAY 135 UNIT# 4, GUNNISON"
M006515,378703400022,Exempt,1,"37898 US HIGHWAY 50 , GUNNISON"
M006518,370124000081,Residential,1,"2388 STATE HIGHWAY 135 UNIT# 1, GUNNISON"
M006523,378903000004,Residential,1,"44400 US HIGHWAY 50 , TOMICHI CREEK"
M006524,351722012002,Exempt,8,"95 GEORGE BAILEY DR UNIT# 12, ALMONT"
M006526,378702201010,Residential,1,"1120 W NEW YORK AVE UNIT# 3, GUNNISON"
M006530,379300000024,Exempt,8,"55581 US HIGHWAY 50 , TOMICHI CREEK"
M006532,378500000018,Commercial,8,"28357 US HIGHWAY 50 UNIT# 327, BLUE MESA RESERVOIR AREA"
M006533,370125000035,Residential,1,"1188 STATE HIGHWAY 135 , GUNNISON"
M006538,370124000081,Residential,1,"2388 STATE HIGHWAY 135 UNIT# 41, GUNNISON"
M006541,370122304011,Exempt,1,"4 RIDGE LN , ANTELOPE CREEK AREA"
M006542,351722012002,Residential,8,"95 GEORGE BAILEY DR UNIT# 19, ALMONT"
M006543,351722012002,Residential,8,"95 GEORGE BAILEY DR UNIT# 28, ALMONT"
M006547,378708000058,Exempt,1,"301 S 2ND ST UNIT# 12, GUNNISON"
M006548,351722012002,Residential,8,"95 GEORGE BAILEY DR UNIT# 22, ALMONT"
M006556,351722012002,Residential,8,"95 GEORGE BAILEY DR UNIT# 23, ALMONT"
M006558,378708000028,Exempt,1,"36128 US HIGHWAY 50 UNIT# R, GUNNISON"
M006559,351722012002,Residential,8,"95 GEORGE BAILEY DR UNIT# 24, ALMONT"
M006570,378702200058,Residential,1,"301 S 2ND ST UNIT# 2, GUNNISON"
M006571,351722012002,Exempt,8,"95 GEORGE BAILEY DR UNIT# 14, ALMONT"
M006577,378700000092,Agricultural,8,"94 PHELPS LN , GUNNISON"
M006581,351700000013,Agricultural,1,"24 LUCILE PL , GUNNISON"
M006583,370122304069,Residential,1,"316 MESA LOOP , ANTELOPE CREEK AREA"
M006584,370124000081,Residential,1,"2388 STATE HIGHWAY 135 UNIT# 34, GUNNISON"
M006585,351722012002,Residential,8,"95 GEORGE BAILEY DR UNIT# 41, ALMONT"
M006587,370124000081,Exempt,1,"2388 STATE HIGHWAY 135 UNIT# 52, GUNNISON"
M006590,370124000081,Residential,1,"2388 STATE HIGHWAY 135 UNIT# 10, GUNNISON"
M006591,378704000003,Residential,1,"851 COUNTY ROAD 18 , GUNNISON"
M006592,351722012002,Residential,8,"95 GEORGE BAILEY DR UNIT# 26, ALMONT"
M006594,424300000051,Exempt,8,"616 COUNTY ROAD 28 , POWDERHORN AREA"
M006596,378708001011,Residential,1,"4 PHYLLIS LN , GUNNISON"
M006601,370124000081,Exempt,1,"2388 STATE HIGHWAY 135 UNIT# 45, GUNNISON"
M006603,378500000018,Residential,8,"28357 US HIGHWAY 50 UNIT# 108, BLUE MESA RESERVOIR AREA"
M006608,370122301025,Residential,1,"45 FAWN DR , ANTELOPE CREEK AREA"
M006609,378702200058,Residential,1,"301 S 2ND ST UNIT# 14, GUNNISON"
M006614,370124000081,Residential,1,"2388 STATE HIGHWAY 135 UNIT# 20, GUNNISON"
M006615,378500000018,Residential,8,"28357 US HIGHWAY 50 UNIT# 101, BLUE MESA RESERVOIR AREA"
M006617,378500000018,Residential,8,"28357 US HIGHWAY 50 UNIT# 103, BLUE MESA RESERVOIR AREA"
M006621,378702115004,Exempt,1,"1000 W NEW YORK AVE UNIT# 4, GUNNISON"
M006622,351722012002,Residential,8,"95 GEORGE BAILEY DR UNIT# 11, ALMONT"
M006625,370122305004,Residential,1,"16 SAGE LN , ANTELOPE CREEK AREA"
M006626,378702201010,Residential,1,"1120 W NEW YORK AVE UNIT# 2, GUNNISON"
M006628,378702213005,Vacant,1,"324 REED ST UNIT# 24, GUNNISON"
M006630,378703400027,Residential,1,"38110 US HIGHWAY 50 UNIT# 2, GUNNISON"
M006631,370124000081,Residential,1,"2388 STATE HIGHWAY 135 UNIT# 24, GUNNISON"
M006632,378702213005,Exempt,1,"323 REED ST UNIT# 23, GUNNISON"
M006637,370124000081,Residential,1,"2388 STATE HIGHWAY 135 UNIT# 6, GUNNISON"
M006642,370124011026,Exempt,1,"10 QUAKEY LN , GUNNISON"
M006643,370124000081,Residential,1,"2388 STATE HIGHWAY 135 UNIT# 2, GUNNISON"
M006645,351722012002,Residential,8,"95 GEORGE BAILEY DR UNIT# 37, ALMONT"
M006646,378500000018,Residential,8,"28357 US HIGHWAY 50 UNIT# 120, BLUE MESA RESERVOIR AREA"
M006648,370135446003,Exempt,1,"220 N BOULEVARD ST UNIT# 11, GUNNISON"
M006649,378702200058,Residential,1,"301 S 2ND ST UNIT# 61, GUNNISON"
M006654,351722012002,Residential,8,"95 GEORGE BAILEY DR UNIT# 17, ALMONT"
M006655,397100000016,Exempt,8,"STATE HIGHWAY 114 , COCHETOPE CREEK DRAINAGE"
M006656,351722012002,Residential,8,"95 GEORGE BAILEY DR UNIT# 16, ALMONT"
M006658,370124000081,Exempt,1,"2388 STATE HIGHWAY 135 UNIT# 49, GUNNISON"
M006660,351714401011,Exempt,8,"1490 COUNTY ROAD 742 , TAYLOR RIVER CANYON"
M006665,351722012002,Residential,8,"95 GEORGE BAILEY DR UNIT# 27, ALMONT"
M006667,370135446003,Residential,1,"220 N BOULEVARD ST UNIT# 17, GUNNISON"
M006668,370124000081,Residential,1,"2388 STATE HIGHWAY 135 UNIT# 30, GUNNISON"
M006672,370125000033,Exempt,1,"1242 STATE HIGHWAY 135 , GUNNISON"
M006674,351722012002,Residential,8,"95 GEORGE BAILEY DR UNIT# 31, ALMONT"
M006675,370135446003,Exempt,1,"220 N BOULEVARD ST UNIT# 14, GUNNISON"
M006677,378708001010,Residential,1,"8 PHYLLIS LN , GUNNISON"
M006680,378702200058,Residential,1,"301 S 2ND ST UNIT# 75, GUNNISON"
M006682,370124000081,Exempt,1,"2388 STATE HIGHWAY 135 UNIT# 29, GUNNISON"
M006684,378702115004,Residential,1,"1000 W NEW YORK AVE UNIT# 2, GUNNISON"
M006685,378704000003,Residential,1,"853 COUNTY ROAD 18 , GUNNISON"
M006687,378708001009,Residential,1,"14 PHYLLIS LN , GUNNISON"
M006696,378708001013,Exempt,1,"3 PHYLLIS LN , GUNNISON"
M006699,370124000082,Residential,1,"194 COUNTY ROAD 11 , GUNNISON"
M006700,370124000081,Exempt,1,"2388 STATE HIGHWAY 135 UNIT# 70, GUNNISON"
M006702,351722012002,Residential,8,"95 GEORGE BAILEY DR UNIT# 8, ALMONT"
